name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Austin,1/11/19,59.7,47.4,53.6,59.7,46.2,53.6,46.9,78.3,0.291,100,16.67,rain,0,0,,11.4,134.4,1018,73.9,8.6,34,2.8,2,,2019-01-11T07:28:36,2019-01-11T17:49:22,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,1/12/19,61.2,43.9,54.6,61.2,40.3,54,43.4,68.6,0.028,100,4.17,rain,0,0,25.2,14.5,317.7,1019.3,17.9,8.7,143.1,12.4,6,,2019-01-12T07:28:33,2019-01-12T17:50:12,0.22,Rain,Clear conditions throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/13/19,52.8,37.9,44.9,52.8,33.3,41.4,34.2,66.7,0,0,0,,0,0,26.4,14.3,7,1028.8,23.6,9.9,137.9,11.9,5,,2019-01-13T07:28:28,2019-01-13T17:51:03,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/14/19,51.5,37.3,44,51.5,32.6,41.8,33.9,68.2,0,0,0,,0,0,,10.4,17.9,1031,85.6,8.6,87.1,7.6,5,,2019-01-14T07:28:22,2019-01-14T17:51:54,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/15/19,51.1,45.4,48.3,51.1,44.3,47.9,40,72.8,0,0,0,,0,0,,6.7,181.3,1027.1,88,9.1,47.2,4.1,2,,2019-01-15T07:28:14,2019-01-15T17:52:45,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/16/19,57,49.1,53.2,57,49.1,53.2,50.2,89.6,0.044,100,16.67,rain,0,0,,5.9,170.4,1023.3,99.3,4.3,33.5,2.9,2,,2019-01-16T07:28:04,2019-01-16T17:53:37,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,1/17/19,76,53.9,61.8,76,53.9,61.8,51.2,71.7,0,0,0,,0,0,,6.3,246.8,1020.3,44.4,8.9,137.5,12,5,,2019-01-17T07:27:53,2019-01-17T17:54:29,0.39,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,1/18/19,65.5,51.8,58.9,65.5,51.8,58.9,55.9,89.9,0.004,100,8.33,rain,0,0,20.8,10.1,198.3,1013.3,78.1,6.3,35.5,3,2,,2019-01-18T07:27:40,2019-01-18T17:55:21,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/19/19,63,40.8,51.5,63,38.4,49.2,31.1,47,0,0,0,,0,0,40.1,19.4,324.4,1019.3,24.4,9.9,141.3,12.2,5,,2019-01-19T07:27:25,2019-01-19T17:56:14,0.45,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/20/19,53.7,32.2,42.4,53.7,26.3,39.6,23.7,48.7,0,0,0,,0,0,19.7,8.7,12,1028,9,9.9,141.4,12.2,5,,2019-01-20T07:27:09,2019-01-20T17:57:06,0.5,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/21/19,66,35.1,50.4,66,35.1,50.1,39.3,66.9,0,0,0,,0,0,25,13.2,162.5,1020,28.4,9.8,133.2,11.4,5,,2019-01-21T07:26:50,2019-01-21T17:57:59,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/22/19,68.7,43.6,60.3,68.7,37.2,59.8,52.3,75.2,0.044,100,12.5,rain,0,0,29.6,16.1,196.5,1011.4,93.4,9.8,31,2.8,1,,2019-01-22T07:26:31,2019-01-22T17:58:52,0.55,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/23/19,55.9,35,43.7,55.9,27.2,39.7,22.9,46.9,0.135,100,8.33,rain,0,0,31.2,16.1,329.9,1021.3,31.3,9.8,140.5,12.1,5,,2019-01-23T07:26:10,2019-01-23T17:59:45,0.59,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/24/19,63.1,31.4,46.5,63.1,31.4,46.3,28.6,54.2,0,0,0,,0,0,24.2,12.9,169,1020.7,2,9.9,152.9,13.2,5,,2019-01-24T07:25:47,2019-01-24T18:00:38,0.62,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/25/19,59.2,40.4,49.2,59.2,39.8,48.6,36.1,61.7,0,0,0,,0,0,18.3,7.5,99.8,1025.4,74.9,9.9,87.4,7.6,4,,2019-01-25T07:25:22,2019-01-25T18:01:31,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/26/19,63,43.2,52.8,63,43.2,52.6,44.7,75,0.19,100,25,rain,0,0,,7.6,52.5,1022.6,58.3,9.2,110.3,9.5,6,,2019-01-26T07:24:56,2019-01-26T18:02:24,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/27/19,65.4,43.5,54,65.4,43.5,54,41.9,69.1,0.07,100,12.5,rain,0,0,,8.4,313.5,1020.6,23.7,8.4,141.7,12.2,5,,2019-01-27T07:24:28,2019-01-27T18:03:17,0.75,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/28/19,70.9,43.4,55.5,70.9,42.5,55.2,40.9,60.9,0,0,0,,0,0,37.8,22.1,318.5,1013.3,32.7,9.8,155.1,13.3,6,,2019-01-28T07:23:59,2019-01-28T18:04:09,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
Austin,1/29/19,48.7,36.9,43.4,47.2,30.5,39.4,20,39.5,0,0,0,,0,0,30.5,14.1,14,1026.1,10,9.9,128.3,11,5,,2019-01-29T07:23:29,2019-01-29T18:05:02,0.79,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/30/19,54.2,39.9,46.8,54.2,38.6,45.7,28.4,49.2,0,0,0,,0,0,,9.9,132.6,1024,44.5,9.9,95,8.3,5,,2019-01-30T07:22:56,2019-01-30T18:05:55,0.83,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,1/31/19,58.1,46.4,52.5,58.1,44.9,52,47.3,82.7,0.017,100,8.33,rain,0,0,,6.3,112.8,1020.2,94,7.1,41,3.5,2,,2019-01-31T07:22:23,2019-01-31T18:06:47,0.86,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/1/19,65.5,56.8,60.5,65.5,56.8,60.5,56.9,88.3,0.01,100,8.33,rain,0,0,,6.9,101.5,1019.6,85.5,7.2,51.9,4.5,3,,2019-02-01T07:21:48,2019-02-01T18:07:39,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/2/19,64.6,59.3,61.6,64.6,59.3,61.6,58.9,91,0,0,0,,0,0,,7.1,126.4,1018.1,96.2,4.9,24.3,2.1,1,,2019-02-02T07:21:11,2019-02-02T18:08:31,0.93,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,2/3/19,75.7,62,66.6,75.7,62,66.6,61.7,85.3,0.008,100,16.67,rain,0,0,25.3,11.2,187.3,1012.3,77.7,5.2,78.3,6.7,4,,2019-02-03T07:20:33,2019-02-03T18:09:23,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/4/19,74.8,65.8,69.1,74.8,65.8,69.1,63.9,83.8,0,0,0,,0,0,21.9,8.3,199.7,1011.5,74.7,6.3,62.1,5.2,3,,2019-02-04T07:19:54,2019-02-04T18:10:15,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/5/19,77.2,67.1,70.8,77.2,67.1,70.8,65,82.7,0,0,0,,0,0,24.2,11.3,177,1011.4,84.5,5.6,72.4,6.2,3,,2019-02-05T07:19:13,2019-02-05T18:11:06,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/6/19,75.4,68.3,71.2,75.4,68.3,71.2,66.4,85,0.003,100,4.17,rain,0,0,26.3,11.1,175.9,1010.1,87,5.2,30.9,2.9,1,,2019-02-06T07:18:31,2019-02-06T18:11:57,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,2/7/19,72.2,40,60,72.2,32.9,58.4,46.3,62,0.027,100,8.33,rain,0,0,37.7,14.8,3.2,1018.1,53.5,8.9,64.5,5.7,3,,2019-02-07T07:17:47,2019-02-07T18:12:47,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/8/19,39,33.3,35.5,32.5,24.2,27.5,21,55.2,0.024,100,12.5,"rain,snow",0,0,30.2,17.5,15.3,1035.3,75.5,9.9,37.7,3.3,2,,2019-02-08T07:17:02,2019-02-08T18:13:38,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/9/19,40.8,34.2,36.9,38.4,25.8,32.1,31.3,80.4,0.084,100,20.83,"rain,snow",0,0,19.7,11.3,25.5,1032.8,91.9,7.6,36,3.1,2,,2019-02-09T07:16:16,2019-02-09T18:14:28,0.16,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/10/19,47.1,38.2,42.6,47.1,34.9,41.5,40.1,91.1,0.094,100,29.17,rain,0,0,,5.3,20.5,1023,99,3.7,32.5,2.8,1,,2019-02-10T07:15:29,2019-02-10T18:15:18,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/11/19,62.3,47.4,55.6,62.3,46.1,55.4,52.8,90.3,0.053,100,16.67,rain,0,0,,7.1,166.3,1012.9,81.4,5.2,26.3,2.1,1,,2019-02-11T07:14:41,2019-02-11T18:16:07,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/12/19,64.8,41.3,54.7,64.8,41.3,54.2,35.7,52.6,0.001,100,4.17,rain,0,0,30.3,14.5,350.5,1022.2,9.9,9.8,159.7,13.8,6,,2019-02-12T07:13:51,2019-02-12T18:16:56,0.25,Rain,Clear conditions throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/13/19,63.9,32.2,49.5,63.9,32.2,49.5,33.6,59.1,0,0,0,,0,0,20.8,11.5,181.1,1023.4,9.7,9.9,144.1,12.3,6,,2019-02-13T07:13:00,2019-02-13T18:17:44,0.3,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,2/14/19,73.3,52.3,61.8,73.3,52.3,61.8,51.3,70,0,0,0,,0,0,31.4,17.5,203.2,1012.4,25.3,9.9,135.4,11.7,5,,2019-02-14T07:12:08,2019-02-14T18:18:33,0.33,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,2/15/19,88.5,54.5,68.9,85.8,54.5,68.4,53.5,62.8,0,0,0,,0,0,23.3,9.2,207,1007.1,13,9.8,148.7,12.9,6,,2019-02-15T07:11:15,2019-02-15T18:19:20,0.37,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,2/16/19,61.9,42.3,49.9,61.9,36.7,48.2,40.1,69.3,0,0,0,,0,0,24.2,13.6,28.1,1008.8,85.7,8.3,91.7,7.9,4,,2019-02-16T07:10:21,2019-02-16T18:20:08,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/17/19,62.4,49.5,55.7,62.4,45.4,55.5,40.9,59.6,0,0,0,,0,0,26.4,13.1,9.7,1011,34.9,8.6,159.9,13.9,6,,2019-02-17T07:09:26,2019-02-17T18:20:55,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/18/19,59.4,43.9,49.9,59.4,39,47,30.5,47.7,0,0,0,,0,0,24.9,15.1,23.1,1021.7,22.5,9.9,166.5,14.3,7,,2019-02-18T07:08:29,2019-02-18T18:21:42,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,C2969,72254013904,72254413958"
Austin,2/19/19,45.2,40.1,42.9,41.8,34.1,38.1,36.3,78.8,0.164,100,29.17,rain,0,0,19.7,11.1,18.6,1016.5,97.7,6.9,28.7,2.3,1,,2019-02-19T07:07:32,2019-02-19T18:22:28,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,2/20/19,63.9,41.3,50.1,63.9,37.4,48.8,36.3,62.9,0,0,0,,0,0,16.1,8,25.3,1015.4,43.6,9.9,188.9,16.3,7,,2019-02-20T07:06:34,2019-02-20T18:23:14,0.54,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/21/19,55.2,44.9,51.8,55.2,44.9,51.8,41.6,68.3,0,0,0,,0,0,,6.7,32.7,1014.1,91.5,9.9,50.5,4.2,2,,2019-02-21T07:05:35,2019-02-21T18:23:59,0.57,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/22/19,58.4,49.9,53.4,58.4,47.3,53.3,49.7,87.2,0.022,100,12.5,rain,0,0,,6.7,41.5,1013.6,99.5,7.2,43.8,3.8,2,,2019-02-22T07:04:35,2019-02-22T18:24:44,0.6,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,2/23/19,74.7,53.2,61.7,74.7,53.2,61.7,35.1,48.9,0.029,100,4.17,rain,0,0,27.1,15.3,299.9,1013.3,44.5,6.7,175.5,15.3,7,,2019-02-23T07:03:34,2019-02-23T18:25:29,0.64,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/24/19,64,45.9,54.3,64,40.1,53.1,28.3,38.3,0,0,0,,0,0,20.8,13.1,19.3,1026.2,8.7,9.9,199.3,17.2,7,,2019-02-24T07:02:32,2019-02-24T18:26:14,0.67,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,2/25/19,66.9,42.1,54.6,66.9,42.1,54.4,40.5,59.5,0,0,0,,0,0,20.8,12.4,128.5,1024.5,42,9.9,155.6,13.3,8,,2019-02-25T07:01:30,2019-02-25T18:26:57,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,C2969,72254013904,72254413958"
Austin,2/26/19,66.2,54.2,59,66.2,54.2,59,54.9,86.7,0.01,100,8.33,rain,0,0,,7.5,75.7,1020.1,97.6,6.2,80.2,6.9,4,,2019-02-26T07:00:26,2019-02-26T18:27:41,0.75,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,2/27/19,76.8,56.9,65.5,76.8,56.9,65.5,59.2,81.6,0.001,100,4.17,rain,0,0,18.7,12.9,58.2,1017.1,75,5.6,117.6,10.1,5,,2019-02-27T06:59:22,2019-02-27T18:28:24,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,2/28/19,52,39.3,42.8,52,32.6,38.5,38.2,83.7,0.085,100,20.83,rain,0,0,20.8,10.5,356.3,1019.5,99.3,7.4,31,2.7,1,,2019-02-28T06:58:17,2019-02-28T18:29:07,0.8,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,3/1/19,54.1,42.3,48.2,54.1,39.4,47.3,42.3,80.2,0,0,0,,0,0,,6,57.1,1018,99.7,5,59.7,5.1,2,,2019-03-01T06:57:12,2019-03-01T18:29:50,0.84,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,3/2/19,53.1,46,49.3,53.1,41.6,47.4,46.3,89.4,0.003,100,4.17,rain,0,0,17.2,9.7,21.2,1018.1,100,3.1,43.7,3.9,1,,2019-03-02T06:56:06,2019-03-02T18:30:32,0.87,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,3/3/19,45.4,34.2,43,42.8,25.2,37,37.1,80.3,0.001,100,4.17,rain,0,0,32.2,17.5,357.4,1019.7,86,7.7,53,4.5,2,,2019-03-03T06:54:59,2019-03-03T18:31:14,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,3/4/19,38.1,29.4,33,30.8,18.3,24.3,17.2,52.8,0,0,0,,0,0,28.8,14.9,0.9,1028.9,96.6,9.9,88.1,7.6,3,,2019-03-04T06:53:52,2019-03-04T18:31:55,0.94,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,3/5/19,46.9,26,36.9,43.2,21.6,32.4,14.2,40.7,0,0,0,,0,0,25.2,13.3,8.4,1033.3,15.4,9.9,183.3,15.7,8,,2019-03-05T06:52:44,2019-03-05T18:32:36,0.97,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,3/6/19,59,28.8,44.9,59,28.8,44.4,26.4,51.1,0,0,0,,0,0,25.3,15.8,158.8,1029.9,41.6,9.9,182.7,15.6,8,,2019-03-06T06:51:35,2019-03-06T18:33:17,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,3/7/19,72.7,50.3,60.7,72.7,50.3,60.7,52.7,76.3,0,0,0,,0,0,26.3,19.6,190.7,1018.9,69.6,7.8,143.2,12.5,7,,2019-03-07T06:50:26,2019-03-07T18:33:58,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,3/8/19,82.7,64.6,71.7,84.4,64.6,71.8,63.9,77.7,0,0,0,,0,0,24,12.2,187.9,1011.5,91.1,9.5,97.4,8.5,5,,2019-03-08T06:49:16,2019-03-08T18:34:38,0.07,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,3/9/19,84.7,60.7,73.3,81.8,60.7,72.7,51.7,57,0.035,100,25,rain,0,0,24.9,11.2,218.1,1008.4,52.6,7.9,188.7,16.4,8,,2019-03-09T06:48:06,2019-03-09T18:35:18,0.11,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,3/10/19,77.5,56.4,67.7,77.5,56.4,67.7,58.1,72.2,0,0,0,,0,0,17.2,10.2,54.3,1014.5,77.1,8.1,72.6,5.9,3,,2019-03-10T07:46:56,2019-03-10T19:35:58,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,C2969,72254013904,72254413958"
Austin,3/11/19,66.7,58.1,60.9,66.7,58.1,60.9,51.8,72.4,0,0,0,,0,0,18.3,10.1,16.8,1020.4,97.2,8.2,54.7,4.5,2,,2019-03-11T07:45:45,2019-03-11T19:36:37,0.17,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
Austin,3/12/19,77.5,58.1,66.7,77.5,58.1,66.7,60.7,82.8,0.017,100,16.67,rain,0,0,32.2,18.8,137.3,1016.3,88.8,5.3,74.4,6.4,3,,2019-03-12T07:44:34,2019-03-12T19:37:16,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,3/13/19,81.9,56.2,70.3,81.3,56.2,70.2,59.1,70.7,0.365,100,20.83,rain,0,0,31.6,15.9,170.4,1004.1,49.1,8.9,206.7,17.7,8,,2019-03-13T07:43:23,2019-03-13T19:37:55,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
Austin,3/14/19,74.7,60.5,68.9,74.7,60.5,68.9,38.1,35.7,0.017,100,4.17,rain,0,0,24.2,14.7,344.5,1013.4,29.5,9.3,235.8,20.3,9,,2019-03-14T07:42:11,2019-03-14T19:38:34,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
